Cycle,Cycle,Cycle,Cycle,Cycle,Cycle,Cycle,Cycle,Cycle,Cycle,Cycle,Cycle,Cycle,Cycle,Cycle,Cycle,Cycle,Cycle,Cycle,Cycle,Cycle,Cycle,Cycle,Cycle,Cycle,Cycle,Cycle,Cycle,Cycle,Cycle,Cycle,Cycle,Cycle,Cycle,Cycle,Cycle,Cycle,Cycle,Cycle,Cycle,Cycle,Cycle,Cycle,Cycle,Cycle,Cycle,Cycle,Cycle,Cycle,Cycle,Cycle,Cycle,Cycle,Cycle,Cycle,Cycle,Cycle,Cycle,Cycle,Cycle,Cycle,Cycle,Cycle,Cycle,Cycle,Cycle,Cycle,Cycle,Cycle,Cycle,Cycle,Cycle,Cycle,Cycle,Cycle,Cycle,Cycle,Cycle,Cycle,Cycle,Cycle,Cycle,Cycle,Cycle,Cycle,Cycle,Cycle,Cycle,Cycle,Cycle,Cycle,Cycle,Cycle,Cycle,Cycle,Cycle,Cycle,Cycle,Cycle,Cycle,Cycle,Cycle,Cycle,Cycle,Cycle,Cycle,Cycle,Cycle,Cycle,Cycle,Cycle,Cycle,Cycle,Cycle,Cycle,Cycle,Cycle,Cycle,Cycle,Cycle,Cycle,Cycle,Cycle,Cycle,Cycle,Cycle,Cycle,Cycle,Cycle,Cycle,Cycle,Cycle,Cycle,Cycle,Cycle,Cycle,Cycle,Cycle,Cycle,Cycle,Cycle,Cycle,Cycle,Cycle,Cycle,Cycle,Cycle,Cycle,Cycle,Cycle,Cycle,Cycle,Cycle,Cycle,Cycle,Cycle,Cycle,Cycle,Cycle,Cycle,Cycle,Cycle,Cycle,Cycle,Cycle,Cycle,Cycle,Cycle,Cycle
Description,Details,Maldistribution Severity,Residuals,Residuals_SH_equal,Epsilon_md,Q Total,m_dot Total,h_out Total,Vol flow A 0,Vol flow A 1,Vol flow A sum,Vol flow A avg,Vol flow B 0,Vol flow B 1,Vol flow B sum,Vol flow B avg,Outlet superheat_A 0,Outlet superheat_A 1,Outlet superheat_A sum,Outlet superheat_A avg,Outlet superheat_B 0,Outlet superheat_B 1,Outlet superheat_B sum,Outlet superheat_B avg,Refrigerant flowrate_A 0,Refrigerant flowrate_A 1,Refrigerant flowrate_A sum,Refrigerant flowrate_A avg,Refrigerant flowrate_B 0,Refrigerant flowrate_B 1,Refrigerant flowrate_B sum,Refrigerant flowrate_B avg,Q Total_A 0,Q Total_A 1,Q Total_A sum,Q Total_A avg,Q Total_B 0,Q Total_B 1,Q Total_B sum,Q Total_B avg,Inlet ref. temp_A 0,Inlet ref. temp_A 1,Inlet ref. temp_A sum,Inlet ref. temp_A avg,Inlet ref. temp_B 0,Inlet ref. temp_B 1,Inlet ref. temp_B sum,Inlet ref. temp_B avg,Outlet ref. temp_A 0,Outlet ref. temp_A 1,Outlet ref. temp_A sum,Outlet ref. temp_A avg,Outlet ref. temp_B 0,Outlet ref. temp_B 1,Outlet ref. temp_B sum,Outlet ref. temp_B avg,Inlet air temp_A 0,Inlet air temp_A 1,Inlet air temp_A sum,Inlet air temp_A avg,Inlet air temp_B 0,Inlet air temp_B 1,Inlet air temp_B sum,Inlet air temp_B avg,Outlet air temp_A 0,Outlet air temp_A 1,Outlet air temp_A sum,Outlet air temp_A avg,Outlet air temp_B 0,Outlet air temp_B 1,Outlet air temp_B sum,Outlet air temp_B avg,Pressure Drop Total_A 0,Pressure Drop Total_A 1,Pressure Drop Total_A sum,Pressure Drop Total_A avg,Pressure Drop Total_B 0,Pressure Drop Total_B 1,Pressure Drop Total_B sum,Pressure Drop Total_B avg,Charge Total_A 0,Charge Total_A 1,Charge Total_A sum,Charge Total_A avg,Charge Total_B 0,Charge Total_B 1,Charge Total_B sum,Charge Total_B avg,Charge Superheat_A 0,Charge Superheat_A 1,Charge Superheat_A sum,Charge Superheat_A avg,Charge Superheat_B 0,Charge Superheat_B 1,Charge Superheat_B sum,Charge Superheat_B avg,Charge Two-Phase_A 0,Charge Two-Phase_A 1,Charge Two-Phase_A sum,Charge Two-Phase_A avg,Charge Two-Phase_B 0,Charge Two-Phase_B 1,Charge Two-Phase_B sum,Charge Two-Phase_B avg,Surface Effectiveness_A 0,Surface Effectiveness_A 1,Surface Effectiveness_A sum,Surface Effectiveness_A avg,Surface Effectiveness_B 0,Surface Effectiveness_B 1,Surface Effectiveness_B sum,Surface Effectiveness_B avg,Pressure Drop Air-side_A 0,Pressure Drop Air-side_A 1,Pressure Drop Air-side_A sum,Pressure Drop Air-side_A avg,Pressure Drop Air-side_B 0,Pressure Drop Air-side_B 1,Pressure Drop Air-side_B sum,Pressure Drop Air-side_B avg,Refrigerant mass flow A 0,Refrigerant mass flow A 1,Refrigerant mass flow A sum,Refrigerant mass flow A avg,Refrigerant mass flow B 0,Refrigerant mass flow B 1,Refrigerant mass flow B sum,Refrigerant mass flow B avg,Sensible Heat Ratio_A 0,Sensible Heat Ratio_A 1,Sensible Heat Ratio_A sum,Sensible Heat Ratio_A avg,Sensible Heat Ratio_B 0,Sensible Heat Ratio_B 1,Sensible Heat Ratio_B sum,Sensible Heat Ratio_B avg,Outlet ref h_A 0,Outlet ref h_A 1,Outlet ref h_A sum,Outlet ref h_A avg,Inlet ref h_B 0,Inlet ref h_B 1,Inlet ref h_B sum,Inlet ref h_B avg,Outlet ref Temp_A 0,Outlet ref Temp_A 1,Outlet ref Temp_A sum,Outlet ref Temp_A avg,Inlet ref Temp_B 0,Inlet ref Temp_B 1,Inlet ref Temp_B sum,Inlet ref Temp_B avg,Outlet ref h_B 0,Outlet ref h_B 1,Outlet ref h_B sum,Outlet ref h_B avg,Inlet ref h_A 0,Inlet ref h_A 1,Inlet ref h_A sum,Inlet ref h_A avg,Outlet ref Temp_B 0,Outlet ref Temp_B 1,Outlet ref Temp_B sum,Outlet ref Temp_B avg,Inlet ref Temp_A 0,Inlet ref Temp_A 1,Inlet ref Temp_A sum,Inlet ref Temp_A avg
N/A,N/A,N/A,N/A,N/A,-,W,kg/s,kJ/kg,m^3/s,m^3/s,m^3/s,m^3/s,m^3/s,m^3/s,m^3/s,m^3/s,K,K,K,K,K,K,K,K,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s,W,W,W,W,W,W,W,W,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,P_A,P_A,P_A,P_A,P_B,P_B,P_B,P_B,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,-,-,-,-,-,-,-,-,P_A,P_A,P_A,P_A,P_B,P_B,P_B,P_B,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s,-,-,-,-,-,-,-,-,J/kg,J/kg,J/kg,J/kg,J/kg,J/kg,J/kg,J/kg,K,K,K,K,K,K,K,K,J/kg,J/kg,J/kg,J/kg,J/kg,J/kg,J/kg,J/kg,K,K,K,K,K,K,K,K
Standard,without maldistribution,0,18.9172332776,0,-999,3713.75260707,0.0304474266925,365873.543322,0.17549364069,0.17549364069,0.35098728138,0.17549364069,0.17549364069,0.17549364069,0.35098728138,0.17549364069,4.86289817829,4.8808300958,9.74372827409,4.87186413705,-0.553808057243,-0.554082439653,-1.1078904969,-0.553945248448,0.0152237133462,0.0152237133462,0.0304474266925,0.0152237133462,0.0152237133462,0.0152237133462,0.0304474266925,0.0152237133462,1121.58122998,1120.53490965,2242.11613963,1121.05806982,738.290454094,733.346013345,1471.63646744,735.818233719,263.882255743,263.882528906,527.764784649,263.882392324,263.728210593,263.728210593,527.456421186,263.728210593,268.965784159,268.983716077,537.949500236,268.974750118,263.549077924,263.548803541,527.097881465,263.548940733,275.15,275.15,550.3,275.15,270.202154367,270.2067702,540.408924568,270.204462284,270.202154367,270.2067702,540.408924568,270.204462284,267.148977008,267.138743956,534.287720964,267.143860482,-5600.83100956,-5595.68060194,-11196.5116115,-5598.25580575,-5072.97212063,-5061.37422266,-10134.3463433,-5067.17317164,0.0251578360998,0.0251252986128,0.0502831347126,0.0251415673563,0.0716597202258,0.0718283422074,0.143488062433,0.0717440312166,0.00285611758809,0.002869847191,0.00572596477908,0.00286298238954,0.0,0.0,0.0,0.0,0.0223017185117,0.0222554514218,0.0445571699335,0.0222785849668,0.0716597202258,0.0718283422074,0.143488062433,0.0717440312166,0.923241688182,0.923241688182,1.84648337636,0.923241688182,0.923194414018,0.923194414018,1.84638882804,0.923194414018,18.9189080008,18.9189080008,37.8378160017,18.9189080008,18.903527865,18.9037950186,37.8073228835,18.9036614418,0.0152237133462,0.0152237133462,0.0304474266925,0.0152237133462,0.0152237133462,0.0152237133462,0.0304474266925,0.0152237133462,1.0,1.0,2.0,1.0,0.954598369007,0.965684746388,1.9202831154,0.960141557698,365865.218879,365881.867766,731747.086645,365873.543322,244044.447331,244044.447331,488088.894663,244044.447331,268.965784159,268.983716077,537.949500236,268.974750118,263.728210593,263.728210593,527.456421186,263.728210593,292540.529549,292215.744088,584756.273637,292378.136819,292191.91694,292277.295467,584469.212407,292234.606204,263.549077924,263.548803541,527.097881465,263.548940733,263.882255743,263.882528906,527.764784649,263.882392324
Standard,Standard  [ 1. 1.] air flow MD,[ 1.  1.],18.9172332776,0,0.0,3713.75260707,0.0304474266925,365873.543322,0.17549364069,0.17549364069,0.35098728138,0.17549364069,0.17549364069,0.17549364069,0.35098728138,0.17549364069,4.86289817829,4.8808300958,9.74372827409,4.87186413705,-0.553808057243,-0.554082439653,-1.1078904969,-0.553945248448,0.0152237133462,0.0152237133462,0.0304474266925,0.0152237133462,0.0152237133462,0.0152237133462,0.0304474266925,0.0152237133462,1121.58122998,1120.53490965,2242.11613963,1121.05806982,738.290454094,733.346013345,1471.63646744,735.818233719,263.882255743,263.882528906,527.764784649,263.882392324,263.728210593,263.728210593,527.456421186,263.728210593,268.965784159,268.983716077,537.949500236,268.974750118,263.549077924,263.548803541,527.097881465,263.548940733,275.15,275.15,550.3,275.15,270.202154367,270.2067702,540.408924568,270.204462284,270.202154367,270.2067702,540.408924568,270.204462284,267.148977008,267.138743956,534.287720964,267.143860482,-5600.83100956,-5595.68060194,-11196.5116115,-5598.25580575,-5072.97212063,-5061.37422266,-10134.3463433,-5067.17317164,0.0251578360998,0.0251252986128,0.0502831347126,0.0251415673563,0.0716597202258,0.0718283422074,0.143488062433,0.0717440312166,0.00285611758809,0.002869847191,0.00572596477908,0.00286298238954,0.0,0.0,0.0,0.0,0.0223017185117,0.0222554514218,0.0445571699335,0.0222785849668,0.0716597202258,0.0718283422074,0.143488062433,0.0717440312166,0.923241688182,0.923241688182,1.84648337636,0.923241688182,0.923194414018,0.923194414018,1.84638882804,0.923194414018,18.9189080008,18.9189080008,37.8378160017,18.9189080008,18.903527865,18.9037950186,37.8073228835,18.9036614418,0.0152237133462,0.0152237133462,0.0304474266925,0.0152237133462,0.0152237133462,0.0152237133462,0.0304474266925,0.0152237133462,1.0,1.0,2.0,1.0,0.954598369007,0.965684746388,1.9202831154,0.960141557698,365865.218879,365881.867766,731747.086645,365873.543322,244044.447331,244044.447331,488088.894663,244044.447331,268.965784159,268.983716077,537.949500236,268.974750118,263.728210593,263.728210593,527.456421186,263.728210593,292540.529549,292215.744088,584756.273637,292378.136819,292191.91694,292277.295467,584469.212407,292234.606204,263.549077924,263.548803541,527.097881465,263.548940733,263.882255743,263.882528906,527.764784649,263.882392324
Standard,Standard  [ 1.   0.95] air flow MD,[ 1.05  0.95],0.0169471033732,0,0.05,3691.75032367,0.0303073999859,365854.643036,0.184268322725,0.166718958655,0.35098728138,0.17549364069,0.184268322725,0.166718958655,0.35098728138,0.17549364069,6.14330557321,3.56561285097,9.70891842418,4.85445921209,-0.547034919483,-0.554647546486,-1.10168246597,-0.550841232984,0.015153699993,0.015153699993,0.0303073999859,0.015153699993,0.015153699993,0.015153699993,0.0303073999859,0.015153699993,1060.43678365,1157.30315806,2217.73994171,1108.86997086,803.587118367,670.423263595,1474.01038196,737.005190981,263.897874257,263.869758989,527.767633246,263.883816623,263.728210593,263.728210593,527.456421186,263.728210593,270.246191554,267.668498832,537.914690386,268.957345193,263.555851062,263.548238435,527.104089496,263.552044748,275.15,275.15,550.3,275.15,270.694659571,269.776189843,540.470849414,270.235424707,270.694659571,269.776189843,540.470849414,270.235424707,267.445391359,266.870373377,534.315764737,267.157882368,-5186.70331729,-5852.58599905,-11039.2893163,-5519.64465817,-5190.36923477,-4879.41162101,-10069.7808558,-5034.89042789,0.0231382107269,0.0270008542982,0.050139065025,0.0250695325125,0.0693711935127,0.073920759425,0.143291952938,0.0716459764688,0.00391170358295,0.00196518418914,0.0058768877721,0.00293844388605,0.0,0.0,0.0,0.0,0.0192265071439,0.025035670109,0.0442621772529,0.0221310886265,0.0693711935127,0.073920759425,0.143291952938,0.0716459764688,0.921533087528,0.925001754084,1.84653484161,0.923267420806,0.921491834854,0.924947444714,1.84643927957,0.923219639784,20.2737740059,17.5954885895,37.8692625954,18.9346312977,20.2625510104,17.578064928,37.8406159384,18.9203079692,0.015153699993,0.015153699993,0.0303073999859,0.015153699993,0.015153699993,0.015153699993,0.0303073999859,0.015153699993,1.0,0.999938702235,1.99993870224,0.999969351118,0.97823559844,0.951964643277,1.93020024172,0.965100120858,367052.287186,364656.998887,731709.286072,365854.643036,244044.447331,244044.447331,488088.894663,244044.447331,270.246191554,267.668498832,537.914690386,268.957345193,263.728210593,263.728210593,527.456421186,263.728210593,297073.550372,288286.003117,585359.553488,292679.776744,297073.550366,288286.003117,585359.553483,292679.776741,263.555851062,263.548238435,527.104089496,263.552044748,263.897874257,263.869758989,527.767633246,263.883816623
Standard,Standard  [ 1.  0.9] air flow MD,[ 1.1  0.9],424.479043926,0,0.1,3409.98326306,0.0354173653956,366279.105133,0.193043004759,0.157944276621,0.35098728138,0.17549364069,0.193043004759,0.157944276621,0.35098728138,0.17549364069,-0.583805089751,10.9438805014,10.3600754117,5.18003770584,-0.662192302,-0.661312694706,-1.32350499671,-0.661752498353,0.0177086826978,0.0177086826978,0.0354173653956,0.0177086826978,0.0177086826978,0.0177086826978,0.0354173653956,0.0177086826978,1433.78062305,1.63058532856,1435.41120838,717.705604189,702.763287668,1271.80876702,1974.57205468,987.286027342,263.843537105,264.135712958,527.979250064,263.989625032,263.728210593,263.728210593,527.456421186,263.728210593,263.519080891,275.046766483,538.565847374,269.282923687,263.440693679,263.441573286,526.882266966,263.441133483,275.15,275.15,550.3,275.15,269.400111945,275.14200743,544.542119376,272.271059688,269.400111945,275.14200743,544.542119376,272.271059688,266.805747977,268.932536788,535.738284765,267.869142382,-8841.90045824,-4000.48284741,-12842.3833057,-6421.19165283,-6281.94399225,-7823.0001477,-14104.9441399,-7052.47206997,0.031570718693,0.0137441355442,0.0453148542372,0.0226574271186,0.0764751219389,0.061007015858,0.137482137797,0.0687410688984,0.0,0.0137441355442,0.0137441355442,0.00687206777211,0.0,0.0,0.0,0.0,0.031570718693,0,0.031570718693,0.0157853593465,0.0764751219389,0.061007015858,0.137482137797,0.0687410688984,0.919872258073,0.926817475161,1.84668973323,0.923344866617,0.919836376137,0.926792502975,1.84662887911,0.923314439556,21.6620132647,16.3017352569,37.9637485216,18.9818742608,21.6536605054,16.3015201664,37.9551806717,18.9775903359,0.0177086826978,0.0177086826978,0.0354173653956,0.0177086826978,0.0177086826978,0.0177086826978,0.0354173653956,0.0177086826978,0.999963064447,1.0,1.99996306445,0.999981532224,0.940153535482,0.996105246086,1.93625878157,0.968129390784,361055.079304,371503.130962,732558.210266,366279.105133,244044.447331,244044.447331,488088.894663,244044.447331,263.519080891,275.046766483,538.565847374,269.282923687,263.728210593,263.728210593,527.456421186,263.728210593,283729.120644,315862.819636,599591.94028,299795.97014,280090.241461,371411.052666,651501.294126,325750.647063,263.440693679,263.441573286,526.882266966,263.441133483,263.843537105,264.135712958,527.979250064,263.989625032
Standard,Standard  [ 1.  0.8] air flow MD,[ 1.2  0.8],4829.00911582,0,0.2,2631.03488593,0.0207768060288,370683.635205,0.210592368828,0.140394912552,0.35098728138,0.17549364069,0.210592368828,0.140394912552,0.35098728138,0.17549364069,10.7081150744,9.53309521773,20.2412102921,10.1206051461,0.105893839472,-0.322734671376,-0.216840831904,-0.108420415952,0.0103884030144,0.0103884030144,0.0207768060288,0.0103884030144,0.0103884030144,0.0103884030144,0.0207768060288,0.0103884030144,102.643309005,515.251326926,617.894635932,308.947317966,1218.57858333,794.56166667,2013.14025,1006.570125,264.103513041,263.972957596,528.076470637,264.038235318,263.728210593,263.728210593,527.456421186,263.728210593,274.811001056,273.635981199,548.446982254,274.223491127,264.208779821,263.78015131,527.98893113,263.994465565,275.15,275.15,550.3,275.15,274.772658295,272.308716686,547.081374981,273.54068749,274.772658295,272.308716686,547.081374981,273.54068749,270.299005528,267.992469265,538.291474793,269.145737396,-1533.34440125,-1908.69785617,-3442.04225741,-1721.02112871,-3546.56694728,-2932.83557857,-6479.40252584,-3239.70126292,0.0137567580655,0.0167667422435,0.030523500309,0.0152617501545,0.0458599657538,0.0591674020779,0.105027367832,0.0525136839159,0.0137567580655,0.00835813001817,0.0221148880837,0.0110574440419,7.98245122699e-05,0.0,7.98245122699e-05,3.99122561349e-05,0,0.00840861222533,0.00840861222533,0.00420430611267,0.0457801412415,0.0591674020779,0.104947543319,0.0524737716597,0.916681161356,0.93063573779,1.84731689915,0.923658449573,0.916681108226,0.930635654886,1.84731676311,0.923658381556,24.5467343658,13.797236942,38.3439713078,19.1719856539,24.547155553,13.7918313761,38.3389869291,19.1694934645,0.0103884030144,0.0103884030144,0.0207768060288,0.0103884030144,0.0103884030144,0.0103884030144,0.0207768060288,0.0103884030144,1.0,1.0,2.0,1.0,1.0,0.995382006512,1.99538200651,0.997691003256,371227.397644,370139.872766,741367.27041,370683.635205,244044.447331,244044.447331,488088.894663,244044.447331,274.811001056,273.635981199,548.446982254,274.223491127,263.728210593,263.728210593,527.456421186,263.728210593,361346.267605,320529.896112,681876.163717,340938.081858,361346.830933,320541.168691,681887.999623,340943.999812,264.208779821,263.78015131,527.98893113,263.994465565,264.103513041,263.972957596,528.076470637,264.038235318
Standard,Standard  [ 1.  0.7] air flow MD,[ 1.3  0.7],4170.92457524,0,0.3,2617.51319913,0.0207770302834,370025.550664,0.228141732897,0.122845548483,0.35098728138,0.17549364069,0.228141732897,0.122845548483,0.35098728138,0.17549364069,10.7621365101,8.0603485257,18.8224850358,9.4112425179,1.44786869834,-0.360655394729,1.08721330361,0.543606651804,0.0103885151417,0.0103885151417,0.0207770302834,0.0103885151417,0.0103885151417,0.0103885151417,0.0207770302834,0.0103885151417,90.0696739199,674.251182655,764.320856575,382.160428287,1231.69575362,621.496588938,1853.19234255,926.596171277,264.107547001,263.919618482,528.027165482,264.013582741,263.728210593,263.728210593,527.456421186,263.728210593,274.865022491,272.163234507,547.028256998,273.514128499,265.550754679,263.742230586,529.292985266,264.646492633,275.15,275.15,550.3,275.15,274.844352641,270.900781282,545.745133923,272.872566962,274.844352641,270.900781282,545.745133923,272.872566962,270.669287388,267.133507232,537.80279462,268.90139731,-1533.59043017,-2266.98659119,-3800.57702135,-1900.28851068,-3467.09280914,-2698.17199176,-6165.2648009,-3082.63240045,0.0137548169456,0.0204736276124,0.034228444558,0.017114222279,0.0446304401458,0.0661512156517,0.110781655798,0.0553908278988,0.0137548169456,0.00565691802917,0.0194117349748,0.00970586748741,0.000623946274786,0.0,0.000623946274786,0.000311973137393,0,0.0148167095832,0.0148167095832,0.00740835479161,0.0440064938711,0.0661512156517,0.110157709523,0.0550788547614,0.913646141082,0.934744386568,1.84839052765,0.924195263825,0.91364609041,0.934744297304,1.84839038771,0.924195193857,27.5895799394,11.3968835415,38.9864634809,19.4932317404,27.5913996839,11.3965680524,38.9879677363,19.4939838681,0.0103885151417,0.0103885151417,0.0207770302834,0.0103885151417,0.0103885151417,0.0103885151417,0.0207770302834,0.0103885151417,1.0,1.0,2.0,1.0,1.0,0.976916503243,1.97691650324,0.988458251622,371277.782371,368773.318957,740051.101328,370025.550664,244044.447331,244044.447331,488088.894663,244044.447331,274.865022491,272.163234507,547.028256998,273.514128499,263.728210593,263.728210593,527.456421186,263.728210593,362607.662268,303869.800662,666477.46293,333238.731465,362607.662273,303869.800653,666477.462926,333238.731463,265.550754679,263.742230586,529.292985266,264.646492633,264.107547001,263.919618482,528.027165482,264.013582741
Standard,Standard  [ 1.  0.6] air flow MD,[ 1.4  0.6],-14324.6457611,0,0.4,3349.80984073,0.0311652001313,351529.980328,0.245691096966,0.105296184414,0.35098728138,0.17549364069,0.245691096966,0.105296184414,0.35098728138,0.17549364069,9.21968931598,-0.511207272697,8.70848204328,4.35424102164,-0.547154254655,-0.586488982841,-1.1336432375,-0.566821618748,0.0155826000657,0.0155826000657,0.0311652001313,0.0155826000657,0.0155826000657,0.0155826000657,0.0311652001313,0.0155826000657,757.170693913,1015.69947956,1772.87017348,886.435086739,1203.92970738,373.009959875,1576.93966725,788.469833627,263.975402975,263.804797636,527.780200611,263.890100305,263.728210593,263.728210593,527.456421186,263.728210593,273.322575297,263.591678708,536.914254006,268.457127003,263.555731726,263.516396998,527.072128725,263.536064362,275.15,275.15,550.3,275.15,272.764105864,267.797550475,540.56165634,270.28082817,272.764105864,267.797550475,540.56165634,270.28082817,269.003333038,265.472651092,534.47598413,267.237992065,-4012.85925595,-6398.3620411,-10411.221297,-5205.61064852,-6366.33026904,-4376.3462105,-10742.6764795,-5371.33823977,0.0167694671733,0.0428311203582,0.0596005875314,0.0298002937657,0.0588696375367,0.0865614023295,0.145431039866,0.0727155199331,0.00825449816235,0.0,0.00825449816235,0.00412724908117,0.0,0.0,0.0,0.0,0.0085149690109,0.0428311203582,0.0513460893691,0.0256730446845,0.0588696375367,0.0865614023295,0.145431039866,0.0727155199331,0.910749173977,0.939209318902,1.84995849288,0.924979246439,0.910696960079,0.939209106179,1.84990606626,0.924953033129,30.8068079818,9.1001131747,39.9069211565,19.9534605783,30.8386374761,9.11396561366,39.9526030898,19.9763015449,0.0155826000657,0.0155826000657,0.0311652001313,0.0155826000657,0.0155826000657,0.0155826000657,0.0311652001313,0.0155826000657,1.0,0.984538408044,1.98453840804,0.992269204022,1.0,0.870977551974,1.87097755197,0.935488775987,369896.262506,333163.698149,703059.960656,351529.980328,244044.447331,244044.447331,488088.894663,244044.447331,273.322575297,263.591678708,536.914254006,268.457127003,263.728210593,263.728210593,527.456421186,263.728210593,321305.604154,267982.041719,589287.645873,294643.822936,321305.482359,267982.054824,589287.537183,294643.768591,263.555731726,263.516396998,527.072128725,263.536064362,263.975402975,263.804797636,527.780200611,263.890100305
Standard,Standard  [ 1.  0.5] air flow MD,[ 1.5  0.5],-19950.6153035,0,0.5,3174.47370406,0.0311652003712,345904.010786,0.263240461035,0.087746820345,0.35098728138,0.17549364069,0.263240461035,0.087746820345,0.35098728138,0.17549364069,9.61233224535,-0.530493346626,9.08183889872,4.54091944936,-0.542027465747,-0.58990749449,-1.13193496024,-0.565967480119,0.0155826001856,0.0155826001856,0.0311652003712,0.0155826001856,0.0155826001856,0.0155826001856,0.0311652003712,0.0155826001856,660.901626012,908.08158672,1568.98321273,784.491606366,1305.80669598,299.683795354,1605.49049133,802.745245666,263.996320909,263.789742148,527.786063057,263.893031529,263.728210593,263.728210593,527.456421186,263.728210593,273.715218226,263.572392635,537.287610861,268.643805431,263.560858515,263.512978487,527.073837002,263.536918501,275.15,275.15,550.3,275.15,273.206292232,267.319561374,540.525853606,270.262926803,273.206292232,267.319561374,540.525853606,270.262926803,269.393031408,265.12498536,534.518016768,267.259008384,-3746.97845657,-6126.83434304,-9873.8127996,-4936.9063998,-6605.6440536,-4199.87950644,-10805.52356,-5402.76178002,0.0157871786728,0.0484601926141,0.0642473712869,0.0321236856435,0.0564450215386,0.0900326980686,0.146477719607,0.0732388598036,0.00926831879194,0.0,0.00926831879194,0.00463415939597,0.0,0.0,0.0,0.0,0.00651885988086,0.0484601926141,0.054979052495,0.0274895262475,0.0564450215386,0.0900326980686,0.146477719607,0.0732388598036,0.907975424421,0.944125549752,1.85210097417,0.926050487086,0.90797537011,0.944125442818,1.85210081293,0.926050406464,34.2137358222,6.91880560955,41.1325414318,20.5662707159,34.2571321956,6.94772144923,41.2048536448,20.6024268224,0.0155826001856,0.0155826001856,0.0311652003712,0.0155826001856,0.0155826001856,0.0155826001856,0.0311652003712,0.0155826001856,1.0,0.977340319748,1.97734031975,0.988670159874,1.0,0.854285230099,1.8542852301,0.927142615049,370256.266871,321551.7547,691808.021571,345904.010786,244044.447331,244044.447331,488088.894663,244044.447331,273.715218226,263.572392635,537.287610861,268.643805431,263.728210593,263.728210593,527.456421186,263.728210593,327843.471912,263276.397826,591119.869738,295559.934869,327843.471949,263276.397834,591119.869783,295559.934892,263.560858515,263.512978487,527.073837002,263.536918501,263.996320909,263.789742148,527.786063057,263.893031529
